Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,68.18
898.0,64.64
896.0,61.36
894.0,58.03
892.0,54.85
890.0,52.14
888.0,49.22
886.0,46.69
884.0,44.51
882.0,42.14
880.0,40.37
878.0,38.73
876.0,37.38
874.0,36.25
872.0,35.32
870.0,34.63
868.0,34.03
866.0,33.77
864.0,33.73
862.0,33.84
860.0,34.32
858.0,34.99
856.0,35.90
854.0,37.12
852.0,38.76
850.0,40.75
848.0,43.12
846.0,45.94
844.0,49.26
842.0,53.03
840.0,57.07
838.0,61.42
836.0,65.83
834.0,69.95
832.0,73.60
830.0,76.39
828.0,77.96
826.0,78.11
824.0,76.73
822.0,73.86
820.0,69.79
818.0,64.98
816.0,59.81
814.0,54.70
812.0,49.94
810.0,45.88
808.0,42.11
806.0,38.96
804.0,36.46
802.0,34.53
800.0,33.18
798.0,32.41
796.0,32.22
794.0,32.67
792.0,33.82
790.0,35.70
788.0,38.32
786.0,41.48
784.0,44.97
782.0,48.57
780.0,51.97
778.0,54.62
776.0,55.52
774.0,53.70
772.0,48.88
770.0,41.65
768.0,33.31
766.0,25.33
764.0,18.75
762.0,13.75
760.0,10.15
758.0,7.61
756.0,5.81
754.0,4.53
752.0,3.60
750.0,2.90
748.0,2.38
746.0,1.98
744.0,1.67
742.0,1.43
740.0,1.24
738.0,1.09
736.0,0.97
734.0,0.87
732.0,0.79
730.0,0.72
728.0,0.67
726.0,0.63
724.0,0.59
722.0,0.57
720.0,0.55
718.0,0.54
716.0,0.53
714.0,0.54
712.0,0.55
710.0,0.57
708.0,0.60
706.0,0.64
704.0,0.70
702.0,0.78
700.0,0.89
698.0,1.04
696.0,1.24
694.0,1.48
692.0,1.76
690.0,2.04
688.0,2.29
686.0,2.44
684.0,2.43
682.0,2.24
680.0,1.91
678.0,1.53
676.0,1.17
674.0,0.89
672.0,0.68
670.0,0.53
668.0,0.43
666.0,0.35
664.0,0.29
662.0,0.25
660.0,0.22
658.0,0.20
656.0,0.18
654.0,0.17
652.0,0.16
650.0,0.15
648.0,0.15
646.0,0.15
644.0,0.15
642.0,0.16
640.0,0.18
638.0,0.19
636.0,0.22
634.0,0.27
632.0,0.34
630.0,0.45
628.0,0.57
626.0,0.72
624.0,0.94
622.0,1.21
620.0,1.42
618.0,1.43
616.0,1.23
614.0,0.90
612.0,0.60
610.0,0.40
608.0,0.28
606.0,0.20
604.0,0.16
602.0,0.12
600.0,0.10
598.0,0.09
596.0,0.08
594.0,0.07
592.0,0.07
590.0,0.07
588.0,0.06
586.0,0.06
584.0,0.07
582.0,0.07
580.0,0.08
578.0,0.09
576.0,0.10
574.0,0.12
572.0,0.15
570.0,0.19
568.0,0.27
566.0,0.40
564.0,0.61
562.0,0.89
560.0,1.12
558.0,1.15
556.0,0.98
554.0,0.75
552.0,0.55
550.0,0.41
548.0,0.32
546.0,0.27
544.0,0.24
542.0,0.22
540.0,0.22
538.0,0.23
536.0,0.26
534.0,0.30
532.0,0.37
530.0,0.47
528.0,0.59
526.0,0.69
524.0,0.72
522.0,0.65
520.0,0.52
518.0,0.39
516.0,0.29
514.0,0.22
512.0,0.18
510.0,0.16
508.0,0.16
506.0,0.16
504.0,0.17
502.0,0.19
500.0,0.20
498.0,0.22
496.0,0.24
494.0,0.28
492.0,0.35
490.0,0.47
488.0,0.62
486.0,0.75
484.0,0.76
482.0,0.63
480.0,0.47
478.0,0.35
476.0,0.27
474.0,0.22
472.0,0.19
470.0,0.18
468.0,0.18
466.0,0.19
464.0,0.22
462.0,0.26
460.0,0.31
458.0,0.39
456.0,0.49
454.0,0.67
452.0,0.97
450.0,1.50
448.0,2.49
446.0,4.51
444.0,8.91
442.0,17.99
440.0,33.71
438.0,53.65
436.0,71.13
434.0,82.38
432.0,88.28
430.0,90.85
428.0,91.71
426.0,91.92
424.0,91.85
422.0,91.78
420.0,91.73
418.0,91.62
416.0,91.39
414.0,91.08
412.0,90.83
410.0,90.63
408.0,90.33
406.0,89.92
404.0,89.41
402.0,89.01
400.0,88.76
398.0,88.42
396.0,87.80
394.0,86.79
392.0,85.54
390.0,84.20
388.0,82.77
386.0,81.06
384.0,78.88
382.0,76.19
380.0,72.97
378.0,68.62
376.0,63.43
374.0,57.02
372.0,49.95
370.0,43.33
368.0,37.53
366.0,31.55
364.0,24.95
362.0,19.15
360.0,15.20
358.0,12.41
356.0,9.44
354.0,6.34
352.0,3.85
350.0,2.11
348.0,1.03
346.0,0.45
344.0,0.18
342.0,0.07
340.0,0.03
338.0,0.02
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
