Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,89.76
898.0,89.53
896.0,89.34
894.0,89.45
892.0,88.97
890.0,88.55
888.0,88.73
886.0,88.21
884.0,88.02
882.0,87.45
880.0,87.35
878.0,86.94
876.0,86.28
874.0,86.14
872.0,85.90
870.0,85.55
868.0,85.52
866.0,85.18
864.0,85.10
862.0,84.89
860.0,84.83
858.0,84.85
856.0,84.77
854.0,84.74
852.0,84.81
850.0,85.01
848.0,85.19
846.0,85.39
844.0,85.66
842.0,86.01
840.0,86.41
838.0,86.78
836.0,87.20
834.0,87.54
832.0,87.82
830.0,87.98
828.0,88.04
826.0,87.84
824.0,87.60
822.0,87.28
820.0,86.87
818.0,86.48
816.0,86.00
814.0,85.55
812.0,85.13
810.0,84.71
808.0,84.31
806.0,83.90
804.0,83.53
802.0,83.17
800.0,82.82
798.0,82.48
796.0,82.20
794.0,81.96
792.0,81.71
790.0,81.51
788.0,81.37
786.0,81.27
784.0,81.20
782.0,81.14
780.0,81.15
778.0,81.18
776.0,81.21
774.0,81.30
772.0,81.39
770.0,81.46
768.0,81.58
766.0,81.69
764.0,81.81
762.0,81.94
760.0,81.89
758.0,81.44
756.0,80.46
754.0,78.94
752.0,77.10
750.0,75.23
748.0,73.43
746.0,71.68
744.0,70.01
742.0,68.41
740.0,66.88
738.0,65.46
736.0,64.15
734.0,62.98
732.0,61.97
730.0,61.14
728.0,60.52
726.0,60.12
724.0,59.99
722.0,60.12
720.0,60.56
718.0,61.36
716.0,62.59
714.0,64.51
712.0,67.19
710.0,69.78
708.0,71.09
706.0,71.43
704.0,72.15
702.0,73.46
700.0,74.75
698.0,75.63
696.0,75.94
694.0,75.58
692.0,74.44
690.0,72.57
688.0,70.07
686.0,67.08
684.0,63.79
682.0,60.38
680.0,57.06
678.0,53.99
676.0,51.26
674.0,48.95
672.0,47.13
670.0,45.84
668.0,45.10
666.0,44.91
664.0,45.31
662.0,46.24
660.0,47.65
658.0,49.37
656.0,51.08
654.0,52.35
652.0,52.61
650.0,51.40
648.0,48.45
646.0,43.88
644.0,38.12
642.0,31.84
640.0,25.77
638.0,20.45
636.0,16.09
634.0,12.67
632.0,10.05
630.0,8.07
628.0,6.61
626.0,5.52
624.0,4.67
622.0,3.98
620.0,3.43
618.0,3.03
616.0,2.72
614.0,2.48
612.0,2.30
610.0,2.17
608.0,2.08
606.0,2.04
604.0,2.03
602.0,2.05
600.0,2.13
598.0,2.25
596.0,2.44
594.0,2.71
592.0,3.10
590.0,3.64
588.0,4.39
586.0,5.39
584.0,6.60
582.0,7.84
580.0,8.77
578.0,9.05
576.0,8.49
574.0,7.22
572.0,5.69
570.0,4.33
568.0,3.30
566.0,2.58
564.0,2.08
562.0,1.73
560.0,1.49
558.0,1.33
556.0,1.22
554.0,1.16
552.0,1.13
550.0,1.14
548.0,1.18
546.0,1.27
544.0,1.41
542.0,1.63
540.0,1.96
538.0,2.48
536.0,3.33
534.0,4.79
532.0,7.35
530.0,11.56
528.0,17.20
526.0,22.31
524.0,24.18
522.0,21.66
520.0,16.93
518.0,12.86
516.0,10.35
514.0,9.09
512.0,8.70
510.0,8.97
508.0,9.73
506.0,10.65
504.0,11.03
502.0,10.20
500.0,8.26
498.0,6.02
496.0,4.17
494.0,2.89
492.0,2.09
490.0,1.60
488.0,1.31
486.0,1.14
484.0,1.05
482.0,1.03
480.0,1.09
478.0,1.21
476.0,1.39
474.0,1.64
472.0,1.91
470.0,2.10
468.0,2.10
466.0,1.90
464.0,1.58
462.0,1.27
460.0,1.02
458.0,0.86
456.0,0.74
454.0,0.68
452.0,0.65
450.0,0.65
448.0,0.70
446.0,0.80
444.0,0.97
442.0,1.27
440.0,1.74
438.0,2.36
436.0,2.99
434.0,3.35
432.0,3.30
430.0,3.01
428.0,2.73
426.0,2.56
424.0,2.54
422.0,2.68
420.0,2.99
418.0,3.50
416.0,4.30
414.0,5.51
412.0,7.34
410.0,10.26
408.0,15.13
406.0,23.48
404.0,36.11
402.0,49.37
400.0,56.59
398.0,57.12
396.0,55.85
394.0,55.73
392.0,55.88
390.0,54.23
388.0,50.71
386.0,47.14
384.0,44.84
382.0,43.35
380.0,41.68
378.0,39.65
376.0,38.02
374.0,36.39
372.0,35.36
370.0,34.95
368.0,33.22
366.0,29.20
364.0,23.98
362.0,18.74
360.0,13.71
358.0,9.29
356.0,5.84
354.0,3.33
352.0,1.66
350.0,0.77
348.0,0.37
346.0,0.19
344.0,0.10
342.0,0.05
340.0,0.03
338.0,0.02
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
