Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,90.41
898.0,90.47
896.0,90.12
894.0,90.50
892.0,90.82
890.0,90.52
888.0,90.40
886.0,90.48
884.0,90.83
882.0,90.67
880.0,90.67
878.0,90.99
876.0,91.20
874.0,91.35
872.0,91.69
870.0,91.57
868.0,91.79
866.0,91.82
864.0,92.24
862.0,92.21
860.0,92.51
858.0,92.68
856.0,92.82
854.0,92.95
852.0,93.01
850.0,93.18
848.0,93.20
846.0,93.32
844.0,93.24
842.0,93.06
840.0,92.79
838.0,92.39
836.0,91.87
834.0,91.29
832.0,90.63
830.0,90.02
828.0,89.35
826.0,88.83
824.0,88.29
822.0,87.88
820.0,87.56
818.0,87.30
816.0,87.12
814.0,87.01
812.0,86.99
810.0,86.95
808.0,86.96
806.0,87.03
804.0,87.13
802.0,87.20
800.0,87.26
798.0,87.29
796.0,87.23
794.0,87.11
792.0,86.87
790.0,86.52
788.0,86.03
786.0,85.40
784.0,84.62
782.0,83.75
780.0,82.72
778.0,81.64
776.0,80.49
774.0,79.35
772.0,78.21
770.0,77.04
768.0,75.71
766.0,74.02
764.0,71.93
762.0,69.54
760.0,67.11
758.0,64.89
756.0,62.92
754.0,61.29
752.0,59.97
750.0,58.92
748.0,58.16
746.0,57.66
744.0,57.46
742.0,57.53
740.0,57.89
738.0,58.55
736.0,59.53
734.0,60.82
732.0,62.44
730.0,64.37
728.0,66.60
726.0,69.17
724.0,72.10
722.0,75.44
720.0,78.71
718.0,81.00
716.0,81.80
714.0,81.24
712.0,80.18
710.0,78.91
708.0,77.10
706.0,74.70
704.0,71.79
702.0,68.52
700.0,65.06
698.0,61.61
696.0,58.34
694.0,55.39
692.0,52.83
690.0,50.74
688.0,49.18
686.0,48.15
684.0,47.69
682.0,47.81
680.0,48.51
678.0,49.73
676.0,51.34
674.0,53.12
672.0,54.69
670.0,55.52
668.0,55.13
666.0,53.20
664.0,49.61
662.0,44.57
660.0,38.58
658.0,32.29
656.0,26.28
654.0,20.97
652.0,16.58
650.0,13.11
648.0,10.43
646.0,8.40
644.0,6.85
642.0,5.67
640.0,4.77
638.0,4.08
636.0,3.56
634.0,3.16
632.0,2.84
630.0,2.56
628.0,2.32
626.0,2.14
624.0,2.01
622.0,1.93
620.0,1.88
618.0,1.87
616.0,1.88
614.0,1.93
612.0,2.03
610.0,2.17
608.0,2.37
606.0,2.66
604.0,3.04
602.0,3.55
600.0,4.20
598.0,4.95
596.0,5.71
594.0,6.31
592.0,6.60
590.0,6.44
588.0,5.87
586.0,5.00
584.0,4.06
582.0,3.22
580.0,2.54
578.0,2.04
576.0,1.68
574.0,1.42
572.0,1.23
570.0,1.10
568.0,1.01
566.0,0.96
564.0,0.93
562.0,0.92
560.0,0.94
558.0,0.99
556.0,1.07
554.0,1.21
552.0,1.41
550.0,1.72
548.0,2.21
546.0,2.99
544.0,4.27
542.0,6.29
540.0,8.95
538.0,11.61
536.0,13.34
534.0,13.42
532.0,11.76
530.0,9.34
528.0,7.26
526.0,5.89
524.0,5.12
522.0,4.81
520.0,4.86
518.0,5.24
516.0,5.99
514.0,7.06
512.0,8.12
510.0,8.53
508.0,7.86
506.0,6.34
504.0,4.65
502.0,3.31
500.0,2.39
498.0,1.80
496.0,1.42
494.0,1.17
492.0,1.03
490.0,0.95
488.0,0.93
486.0,0.98
484.0,1.08
482.0,1.26
480.0,1.50
478.0,1.77
476.0,1.94
474.0,1.92
472.0,1.71
470.0,1.41
468.0,1.13
466.0,0.92
464.0,0.78
462.0,0.69
460.0,0.63
458.0,0.61
456.0,0.62
454.0,0.66
452.0,0.74
450.0,0.88
448.0,1.11
446.0,1.46
444.0,1.95
442.0,2.47
440.0,2.77
438.0,2.72
436.0,2.42
434.0,2.09
432.0,1.84
430.0,1.71
428.0,1.68
426.0,1.76
424.0,1.97
422.0,2.33
420.0,2.92
418.0,3.87
416.0,5.51
414.0,8.43
412.0,13.76
410.0,23.38
408.0,38.27
406.0,54.27
404.0,63.11
402.0,64.14
400.0,63.01
398.0,62.96
396.0,63.31
394.0,62.31
392.0,59.78
390.0,57.32
388.0,56.28
386.0,56.80
384.0,57.50
382.0,56.48
380.0,53.64
378.0,50.38
376.0,48.83
374.0,48.54
372.0,47.39
370.0,43.86
368.0,38.50
366.0,32.51
364.0,26.22
362.0,19.89
360.0,14.23
358.0,9.56
356.0,5.65
354.0,2.92
352.0,1.46
350.0,0.77
348.0,0.43
346.0,0.22
344.0,0.11
342.0,0.06
340.0,0.03
338.0,0.02
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
