Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,38.96
898.0,37.25
896.0,35.74
894.0,34.70
892.0,33.52
890.0,32.75
888.0,32.22
886.0,31.76
884.0,31.36
882.0,31.27
880.0,31.54
878.0,31.79
876.0,32.49
874.0,33.22
872.0,34.44
870.0,35.86
868.0,37.63
866.0,39.83
864.0,42.45
862.0,45.50
860.0,49.19
858.0,53.33
856.0,57.93
854.0,62.82
852.0,67.81
850.0,72.55
848.0,76.30
846.0,78.78
844.0,79.53
842.0,78.35
840.0,75.27
838.0,70.79
836.0,65.43
834.0,59.69
832.0,54.11
830.0,48.86
828.0,44.26
826.0,40.33
824.0,37.04
822.0,34.38
820.0,32.30
818.0,30.77
816.0,29.74
814.0,29.21
812.0,29.18
810.0,29.66
808.0,30.74
806.0,32.55
804.0,35.20
802.0,38.87
800.0,43.61
798.0,49.17
796.0,54.71
794.0,58.66
792.0,59.26
790.0,55.46
788.0,47.71
786.0,38.00
784.0,28.57
782.0,20.83
780.0,15.06
778.0,10.99
776.0,8.17
774.0,6.19
772.0,4.78
770.0,3.76
768.0,3.01
766.0,2.45
764.0,2.03
762.0,1.70
760.0,1.44
758.0,1.24
756.0,1.08
754.0,0.95
752.0,0.84
750.0,0.76
748.0,0.69
746.0,0.63
744.0,0.58
742.0,0.54
740.0,0.52
738.0,0.49
736.0,0.47
734.0,0.46
732.0,0.46
730.0,0.46
728.0,0.46
726.0,0.47
724.0,0.49
722.0,0.52
720.0,0.55
718.0,0.60
716.0,0.67
714.0,0.77
712.0,0.89
710.0,1.07
708.0,1.30
706.0,1.61
704.0,1.95
702.0,2.28
700.0,2.45
698.0,2.39
696.0,2.10
694.0,1.69
692.0,1.29
690.0,0.96
688.0,0.72
686.0,0.55
684.0,0.44
682.0,0.35
680.0,0.29
678.0,0.24
676.0,0.21
674.0,0.18
672.0,0.16
670.0,0.15
668.0,0.14
666.0,0.13
664.0,0.13
662.0,0.12
660.0,0.12
658.0,0.12
656.0,0.13
654.0,0.13
652.0,0.15
650.0,0.16
648.0,0.19
646.0,0.22
644.0,0.28
642.0,0.37
640.0,0.52
638.0,0.75
636.0,1.04
634.0,1.30
632.0,1.36
630.0,1.16
628.0,0.83
626.0,0.53
624.0,0.34
622.0,0.23
620.0,0.16
618.0,0.12
616.0,0.10
614.0,0.08
612.0,0.07
610.0,0.06
608.0,0.05
606.0,0.05
604.0,0.04
602.0,0.04
600.0,0.04
598.0,0.04
596.0,0.04
594.0,0.04
592.0,0.04
590.0,0.05
588.0,0.05
586.0,0.06
584.0,0.07
582.0,0.09
580.0,0.11
578.0,0.15
576.0,0.21
574.0,0.31
572.0,0.49
570.0,0.75
568.0,0.98
566.0,1.01
564.0,0.83
562.0,0.60
560.0,0.43
558.0,0.32
556.0,0.25
554.0,0.22
552.0,0.19
550.0,0.18
548.0,0.19
546.0,0.20
544.0,0.22
542.0,0.26
540.0,0.32
538.0,0.41
536.0,0.52
534.0,0.62
532.0,0.63
530.0,0.56
528.0,0.43
526.0,0.32
524.0,0.23
522.0,0.17
520.0,0.14
518.0,0.11
516.0,0.10
514.0,0.10
512.0,0.10
510.0,0.11
508.0,0.13
506.0,0.16
504.0,0.20
502.0,0.25
500.0,0.32
498.0,0.42
496.0,0.57
494.0,0.71
492.0,0.74
490.0,0.63
488.0,0.47
486.0,0.34
484.0,0.25
482.0,0.18
480.0,0.14
478.0,0.13
476.0,0.12
474.0,0.12
472.0,0.13
470.0,0.15
468.0,0.18
466.0,0.23
464.0,0.30
462.0,0.41
460.0,0.58
458.0,0.84
456.0,1.31
454.0,2.19
452.0,3.93
450.0,7.48
448.0,14.74
446.0,28.28
444.0,48.30
442.0,67.90
440.0,80.87
438.0,87.46
436.0,90.42
434.0,91.57
432.0,91.81
430.0,91.74
428.0,91.66
426.0,91.56
424.0,91.34
422.0,91.01
420.0,90.75
418.0,90.77
416.0,91.00
414.0,91.14
412.0,90.97
410.0,90.56
408.0,90.13
406.0,89.88
404.0,89.82
402.0,89.51
400.0,88.89
398.0,88.01
396.0,87.17
394.0,86.42
392.0,85.51
390.0,84.30
388.0,82.71
386.0,80.86
384.0,78.68
382.0,76.12
380.0,72.91
378.0,68.58
376.0,63.36
374.0,57.35
372.0,51.45
370.0,45.81
368.0,39.55
366.0,32.65
364.0,26.84
362.0,22.61
360.0,18.59
358.0,13.95
356.0,9.53
354.0,6.03
352.0,3.45
350.0,1.75
348.0,0.79
346.0,0.32
344.0,0.13
342.0,0.05
340.0,0.03
338.0,0.02
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
