0,1,2
55,342,0.9402
60,342,0.8949
65,342,0.818
70,342,0.7616
75,342,0.6414
0,344,0.6583
5,344,0.6946
10,344,0.7829999999999999
15,344,0.8595
20,344,0.9063
25,344,0.9373
30,344,0.9637
35,344,0.9774
40,344,0.9733
45,344,0.9692
50,344,0.9645
55,344,0.9309
60,344,0.9046
65,344,0.8129
70,344,0.7807
75,344,0.6663
0,346,0.7965
5,346,0.7984
10,346,0.8370000000000001
15,346,0.8778
20,346,0.9317
25,346,0.9325
30,346,0.9784
35,346,0.9801
40,346,0.9756
45,346,0.9715
50,346,0.9612
55,346,0.927
60,346,0.8911
65,346,0.8526
70,346,0.7815
75,346,0.6752
0,348,0.8181
5,348,0.8283
10,348,0.8636
15,348,0.9186
20,348,0.9189
25,348,0.9596
30,348,0.9815
35,348,0.9797
40,348,0.9727
45,348,0.9738
50,348,0.956
55,348,0.9367
60,348,0.8791
65,348,0.8666
70,348,0.8069
75,348,0.6495
0,350,0.8587
5,350,0.8761
10,350,0.9122
15,350,0.9143
20,350,0.9282
25,350,0.9784
30,350,0.9834
35,350,0.9767
40,350,0.9738
45,350,0.972
50,350,0.9501
55,350,0.9378
60,350,0.9032
65,350,0.8654
70,350,0.7972
75,350,0.6551
0,352,0.9196
5,352,0.9107
10,352,0.9061
15,352,0.9095
20,352,0.9637
25,352,0.9813
30,352,0.982
35,352,0.9697
40,352,0.9767
45,352,0.9714
50,352,0.9541
55,352,0.9252
60,352,0.9229999999999999
65,352,0.8811
70,352,0.7793
75,352,0.64
0,354,0.8917
5,354,0.8924
10,354,0.9018
15,354,0.9469
20,354,0.9791
25,354,0.9829
30,354,0.9732
35,354,0.9705
40,354,0.9737
45,354,0.9690000000000001
50,354,0.9614
55,354,0.9297
60,354,0.9194
65,354,0.8744
70,354,0.7875
75,354,0.6007
0,356,0.8945
5,356,0.9089
10,356,0.9420000000000001
15,356,0.9736
20,356,0.9808
25,356,0.9787
30,356,0.961
35,356,0.9768
40,356,0.9739
45,356,0.9678
50,356,0.9573
55,356,0.9488
60,356,0.9243
65,356,0.8609
70,356,0.7598
75,356,0.6225
0,358,0.9456
5,358,0.9518
10,358,0.9708
15,358,0.9783
20,358,0.9809
25,358,0.9626
30,358,0.9640000000000001
35,358,0.9734
40,358,0.9766
45,358,0.9723
50,358,0.9526
55,358,0.9517
60,358,0.9268
65,358,0.868
70,358,0.7312
75,358,0.6616
0,360,0.9694
5,360,0.97
10,360,0.976
15,360,0.9795
20,360,0.9706
25,360,0.9458
30,360,0.9749
35,360,0.9717
40,360,0.9765
45,360,0.9741
50,360,0.9608
55,360,0.9481
60,360,0.9159999999999999
65,360,0.8505
70,360,0.7676
75,360,0.6515
0,362,0.9716
5,362,0.973
10,362,0.9778
15,362,0.9729
20,362,0.9445
25,362,0.9543
30,362,0.9723
35,362,0.9768
40,362,0.9782
45,362,0.971
50,362,0.9687
55,362,0.9513
60,362,0.9183
65,362,0.8231
70,362,0.7989
75,362,0.6536
0,364,0.9740000000000001
5,364,0.9740000000000001
10,364,0.9706
15,364,0.9456
20,364,0.9309
25,364,0.9717
30,364,0.9682
35,364,0.98
40,364,0.9781
45,364,0.9719
50,364,0.9662
55,364,0.9488
60,364,0.9198
65,364,0.8454
70,364,0.7836
75,364,0.6874
0,366,0.9669
5,366,0.9575
10,366,0.9389
15,366,0.9177
20,366,0.9525
25,366,0.9679
30,366,0.9747
35,366,0.9822
40,366,0.9755
45,366,0.9761
50,366,0.9645
55,366,0.9444
60,366,0.8976
65,366,0.8783
70,366,0.7917
75,366,0.6831
0,368,0.9274
5,368,0.9169
10,368,0.9073
15,368,0.932
20,368,0.9705
25,368,0.9629
30,368,0.9796
35,368,0.9813
40,368,0.9766
45,368,0.977
50,368,0.9656
55,368,0.9504
60,368,0.8909
65,368,0.8707
70,368,0.8228
75,368,0.6553
0,370,0.8913
5,370,0.898
10,370,0.9223
15,370,0.9638
20,370,0.9621
25,370,0.971
30,370,0.9829
35,370,0.9738
40,370,0.98
45,370,0.9748
50,370,0.963
55,370,0.9483
60,370,0.9168
65,370,0.8668
70,370,0.812
75,370,0.6574
0,372,0.9174
5,372,0.9304
10,372,0.9597
15,372,0.9644
20,372,0.9603
25,372,0.976
30,372,0.9834
35,372,0.9723
40,372,0.9783
45,372,0.9745
50,372,0.963
55,372,0.9324
60,372,0.9309
65,372,0.8905
70,372,0.7863
75,372,0.6647
0,374,0.9633
5,374,0.9621
10,374,0.9631
15,374,0.9551
20,374,0.9697
25,374,0.9797
30,374,0.9719
35,374,0.9803
40,374,0.9768
45,374,0.9749
50,374,0.9681
55,374,0.9313
60,374,0.9202
65,374,0.8935
70,374,0.7928
75,374,0.6517
0,376,0.9585
5,376,0.9552
10,376,0.9522
15,376,0.9635
20,376,0.9725
25,376,0.9808
30,376,0.9640000000000001
35,376,0.9805
40,376,0.9775
45,376,0.9740000000000001
50,376,0.9656
55,376,0.95
60,376,0.9225
65,376,0.8706
70,376,0.8005
75,376,0.644
