Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,86.10
898.0,85.30
896.0,86.25
894.0,85.82
892.0,86.59
890.0,86.16
888.0,86.71
886.0,86.81
884.0,87.26
882.0,87.98
880.0,87.99
878.0,88.45
876.0,88.75
874.0,88.98
872.0,89.40
870.0,89.79
868.0,90.09
866.0,90.63
864.0,90.86
862.0,91.11
860.0,91.59
858.0,91.91
856.0,92.13
854.0,92.29
852.0,92.48
850.0,92.68
848.0,92.82
846.0,92.82
844.0,92.78
842.0,92.77
840.0,92.72
838.0,92.61
836.0,92.31
834.0,91.95
832.0,91.42
830.0,90.83
828.0,90.10
826.0,89.35
824.0,88.48
822.0,87.63
820.0,86.79
818.0,86.04
816.0,85.39
814.0,84.83
812.0,84.39
810.0,84.03
808.0,83.86
806.0,83.79
804.0,83.80
802.0,83.91
800.0,84.11
798.0,84.34
796.0,84.66
794.0,84.92
792.0,85.18
790.0,85.39
788.0,85.52
786.0,85.55
784.0,85.46
782.0,85.20
780.0,84.77
778.0,84.18
776.0,83.44
774.0,82.50
772.0,81.49
770.0,80.49
768.0,79.48
766.0,78.55
764.0,77.49
762.0,76.23
760.0,74.56
758.0,72.32
756.0,69.63
754.0,66.77
752.0,63.96
750.0,61.41
748.0,59.18
746.0,57.30
744.0,55.82
742.0,54.67
740.0,53.82
738.0,53.30
736.0,53.05
734.0,53.11
732.0,53.51
730.0,54.17
728.0,55.13
726.0,56.44
724.0,58.10
722.0,60.07
720.0,62.35
718.0,64.92
716.0,67.69
714.0,70.51
712.0,73.00
710.0,74.87
708.0,75.97
706.0,76.34
704.0,76.13
702.0,75.38
700.0,74.02
698.0,72.08
696.0,69.75
694.0,67.10
692.0,64.27
690.0,61.49
688.0,58.87
686.0,56.41
684.0,54.25
682.0,52.52
680.0,51.24
678.0,50.50
676.0,50.28
674.0,50.64
672.0,51.59
670.0,53.08
668.0,54.98
666.0,57.02
664.0,58.80
662.0,59.73
660.0,59.31
658.0,57.30
656.0,53.71
654.0,48.85
652.0,43.20
650.0,37.29
648.0,31.60
646.0,26.42
644.0,21.86
642.0,17.95
640.0,14.68
638.0,12.03
636.0,9.89
634.0,8.18
632.0,6.84
630.0,5.80
628.0,5.00
626.0,4.37
624.0,3.88
622.0,3.48
620.0,3.18
618.0,2.94
616.0,2.77
614.0,2.65
612.0,2.58
610.0,2.55
608.0,2.58
606.0,2.65
604.0,2.78
602.0,2.97
600.0,3.24
598.0,3.60
596.0,4.07
594.0,4.66
592.0,5.34
590.0,6.02
588.0,6.58
586.0,6.89
584.0,6.88
582.0,6.57
580.0,6.03
578.0,5.36
576.0,4.66
574.0,3.99
572.0,3.38
570.0,2.87
568.0,2.44
566.0,2.11
564.0,1.85
562.0,1.66
560.0,1.53
558.0,1.44
556.0,1.40
554.0,1.40
552.0,1.45
550.0,1.53
548.0,1.67
546.0,1.89
544.0,2.22
542.0,2.72
540.0,3.48
538.0,4.63
536.0,6.34
534.0,8.65
532.0,11.19
530.0,13.31
528.0,14.54
526.0,14.79
524.0,14.25
522.0,13.31
520.0,12.29
518.0,11.37
516.0,10.68
514.0,10.40
512.0,10.64
510.0,11.43
508.0,12.59
506.0,13.58
504.0,13.65
502.0,12.48
500.0,10.42
498.0,8.10
496.0,6.01
494.0,4.37
492.0,3.23
490.0,2.50
488.0,2.05
486.0,1.78
484.0,1.66
482.0,1.65
480.0,1.74
478.0,1.94
476.0,2.22
474.0,2.58
472.0,2.91
470.0,3.09
468.0,3.03
466.0,2.76
464.0,2.36
462.0,1.95
460.0,1.59
458.0,1.32
456.0,1.12
454.0,0.99
452.0,0.93
450.0,0.91
448.0,0.95
446.0,1.06
444.0,1.25
442.0,1.58
440.0,2.05
438.0,2.59
436.0,3.04
434.0,3.19
432.0,3.03
430.0,2.70
428.0,2.35
426.0,2.08
424.0,1.92
422.0,1.89
420.0,1.99
418.0,2.26
416.0,2.78
414.0,3.70
412.0,5.38
410.0,8.52
408.0,14.54
406.0,25.69
404.0,41.58
402.0,55.54
400.0,61.89
398.0,62.68
396.0,62.30
394.0,62.37
392.0,61.99
390.0,60.23
388.0,57.58
386.0,55.15
384.0,53.52
382.0,52.14
380.0,50.43
378.0,48.23
376.0,46.64
374.0,45.12
372.0,42.62
370.0,39.36
368.0,35.47
366.0,30.94
364.0,25.97
362.0,20.71
360.0,15.40
358.0,10.58
356.0,6.64
354.0,3.74
352.0,1.89
350.0,0.92
348.0,0.46
346.0,0.23
344.0,0.12
342.0,0.06
340.0,0.04
338.0,0.03
336.0,0.02
334.0,0.02
332.0,0.02
330.0,0.02
328.0,0.02
326.0,0.03
324.0,0.03
322.0,0.03
320.0,0.03
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
