Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,89.19
898.0,90.07
896.0,90.57
894.0,91.24
892.0,90.76
890.0,90.82
888.0,89.57
886.0,89.03
884.0,86.74
882.0,85.84
880.0,83.89
878.0,82.39
876.0,79.27
874.0,75.59
872.0,72.76
870.0,69.97
868.0,66.72
866.0,63.80
864.0,60.72
862.0,57.96
860.0,55.52
858.0,52.96
856.0,50.79
854.0,48.80
852.0,47.07
850.0,45.51
848.0,44.24
846.0,43.19
844.0,42.34
842.0,41.74
840.0,41.41
838.0,41.36
836.0,41.57
834.0,42.12
832.0,42.86
830.0,43.98
828.0,45.52
826.0,47.32
824.0,49.30
822.0,51.70
820.0,54.26
818.0,56.90
816.0,59.77
814.0,62.81
812.0,65.87
810.0,68.84
808.0,72.16
806.0,75.23
804.0,77.82
802.0,79.57
800.0,80.02
798.0,79.12
796.0,76.86
794.0,73.50
792.0,69.39
790.0,64.73
788.0,60.03
786.0,55.44
784.0,51.28
782.0,47.69
780.0,44.59
778.0,42.09
776.0,40.27
774.0,39.05
772.0,38.43
770.0,38.22
768.0,38.19
766.0,38.23
764.0,38.57
762.0,39.43
760.0,41.02
758.0,43.35
756.0,46.32
754.0,49.28
752.0,51.15
750.0,51.01
748.0,48.22
746.0,42.95
744.0,36.24
742.0,29.30
740.0,22.96
738.0,17.63
736.0,13.42
734.0,10.22
732.0,7.84
730.0,6.09
728.0,4.81
726.0,3.87
724.0,3.15
722.0,2.61
720.0,2.19
718.0,1.86
716.0,1.60
714.0,1.39
712.0,1.23
710.0,1.10
708.0,0.99
706.0,0.90
704.0,0.84
702.0,0.78
700.0,0.74
698.0,0.71
696.0,0.69
694.0,0.68
692.0,0.67
690.0,0.68
688.0,0.69
686.0,0.72
684.0,0.76
682.0,0.83
680.0,0.92
678.0,1.03
676.0,1.16
674.0,1.30
672.0,1.46
670.0,1.68
668.0,1.97
666.0,2.28
664.0,2.55
662.0,2.66
660.0,2.55
658.0,2.27
656.0,1.89
654.0,1.50
652.0,1.17
650.0,0.91
648.0,0.72
646.0,0.57
644.0,0.47
642.0,0.39
640.0,0.34
638.0,0.29
636.0,0.26
634.0,0.24
632.0,0.22
630.0,0.21
628.0,0.20
626.0,0.20
624.0,0.21
622.0,0.22
620.0,0.24
618.0,0.28
616.0,0.33
614.0,0.36
612.0,0.39
610.0,0.44
608.0,0.56
606.0,0.76
604.0,1.09
602.0,1.57
600.0,2.00
598.0,2.10
596.0,1.83
594.0,1.40
592.0,0.99
590.0,0.68
588.0,0.47
586.0,0.34
584.0,0.27
582.0,0.22
580.0,0.18
578.0,0.16
576.0,0.14
574.0,0.14
572.0,0.14
570.0,0.14
568.0,0.14
566.0,0.15
564.0,0.17
562.0,0.19
560.0,0.20
558.0,0.25
556.0,0.34
554.0,0.48
552.0,0.71
550.0,1.03
548.0,1.30
546.0,1.34
544.0,1.13
542.0,0.84
540.0,0.61
538.0,0.45
536.0,0.34
534.0,0.27
532.0,0.23
530.0,0.19
528.0,0.18
526.0,0.18
524.0,0.19
522.0,0.23
520.0,0.30
518.0,0.40
516.0,0.53
514.0,0.66
512.0,0.73
510.0,0.72
508.0,0.64
506.0,0.57
504.0,0.51
502.0,0.49
500.0,0.46
498.0,0.42
496.0,0.38
494.0,0.33
492.0,0.29
490.0,0.26
488.0,0.24
486.0,0.23
484.0,0.24
482.0,0.24
480.0,0.32
478.0,0.52
476.0,0.77
474.0,0.93
472.0,0.92
470.0,0.79
468.0,0.63
466.0,0.52
464.0,0.47
462.0,0.47
460.0,0.48
458.0,0.49
456.0,0.50
454.0,0.53
452.0,0.56
450.0,0.62
448.0,0.73
446.0,0.91
444.0,1.18
442.0,1.69
440.0,2.66
438.0,4.46
436.0,8.05
434.0,15.37
432.0,28.93
430.0,47.96
428.0,65.00
426.0,73.79
424.0,77.60
422.0,81.19
420.0,84.85
418.0,87.31
416.0,88.45
414.0,88.73
412.0,88.88
410.0,88.85
408.0,88.66
406.0,87.84
404.0,86.21
402.0,84.20
400.0,82.53
398.0,82.03
396.0,82.66
394.0,83.76
392.0,84.09
390.0,83.48
388.0,82.23
386.0,80.34
384.0,78.19
382.0,75.22
380.0,71.30
378.0,66.36
376.0,61.89
374.0,57.42
372.0,51.73
370.0,43.28
368.0,33.02
366.0,24.54
364.0,19.50
362.0,16.24
360.0,12.39
358.0,8.23
356.0,5.46
354.0,4.02
352.0,2.99
350.0,1.97
348.0,1.13
346.0,0.59
344.0,0.28
342.0,0.14
340.0,0.10
338.0,0.08
336.0,0.08
334.0,0.07
332.0,0.09
330.0,0.09
328.0,0.11
326.0,0.11
324.0,0.12
322.0,0.14
320.0,0.13
318.0,0.01
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
