Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,81.66
898.0,82.05
896.0,81.69
894.0,81.87
892.0,82.60
890.0,82.52
888.0,82.47
886.0,82.68
884.0,83.39
882.0,83.16
880.0,83.72
878.0,84.12
876.0,84.32
874.0,84.46
872.0,84.90
870.0,85.34
868.0,85.60
866.0,86.02
864.0,86.33
862.0,86.47
860.0,86.68
858.0,86.84
856.0,86.92
854.0,86.86
852.0,86.79
850.0,86.53
848.0,86.21
846.0,85.91
844.0,85.61
842.0,85.14
840.0,84.77
838.0,84.30
836.0,83.85
834.0,83.40
832.0,82.99
830.0,82.56
828.0,82.11
826.0,81.72
824.0,81.34
822.0,80.97
820.0,80.63
818.0,80.31
816.0,80.05
814.0,79.78
812.0,79.53
810.0,79.21
808.0,78.99
806.0,78.85
804.0,78.68
802.0,78.59
800.0,78.50
798.0,78.47
796.0,78.49
794.0,78.55
792.0,78.67
790.0,78.86
788.0,79.12
786.0,79.44
784.0,79.82
782.0,80.32
780.0,80.90
778.0,81.51
776.0,82.15
774.0,82.80
772.0,83.33
770.0,83.72
768.0,83.88
766.0,83.83
764.0,83.60
762.0,83.24
760.0,82.78
758.0,82.27
756.0,81.82
754.0,81.39
752.0,81.02
750.0,80.65
748.0,80.32
746.0,80.02
744.0,79.71
742.0,79.45
740.0,79.20
738.0,78.94
736.0,78.73
734.0,78.59
732.0,78.52
730.0,78.59
728.0,78.88
726.0,79.41
724.0,80.13
722.0,80.87
720.0,81.25
718.0,80.85
716.0,79.56
714.0,77.58
712.0,75.43
710.0,73.62
708.0,72.30
706.0,71.37
704.0,70.74
702.0,70.33
700.0,70.07
698.0,69.94
696.0,69.90
694.0,69.94
692.0,70.06
690.0,70.26
688.0,70.48
686.0,70.78
684.0,71.13
682.0,71.51
680.0,71.99
678.0,72.60
676.0,73.49
674.0,74.85
672.0,76.25
670.0,76.74
668.0,75.86
666.0,74.20
664.0,72.88
662.0,72.14
660.0,71.63
658.0,71.16
656.0,70.69
654.0,70.19
652.0,69.67
650.0,69.15
648.0,68.64
646.0,68.14
644.0,67.68
642.0,67.28
640.0,66.95
638.0,66.69
636.0,66.51
634.0,66.42
632.0,66.41
630.0,66.50
628.0,66.70
626.0,67.01
624.0,67.45
622.0,67.97
620.0,68.46
618.0,68.84
616.0,69.13
614.0,69.42
612.0,69.74
610.0,69.98
608.0,70.10
606.0,70.11
604.0,69.96
602.0,69.66
600.0,69.24
598.0,68.69
596.0,68.04
594.0,67.32
592.0,66.57
590.0,65.84
588.0,65.15
586.0,64.54
584.0,64.04
582.0,63.70
580.0,63.52
578.0,63.51
576.0,63.68
574.0,64.05
572.0,64.59
570.0,65.30
568.0,66.13
566.0,67.06
564.0,68.04
562.0,69.00
560.0,69.92
558.0,70.74
556.0,71.40
554.0,71.86
552.0,72.10
550.0,72.10
548.0,71.92
546.0,71.56
544.0,71.12
542.0,70.67
540.0,70.28
538.0,70.06
536.0,70.06
534.0,70.34
532.0,70.92
530.0,71.80
528.0,73.02
526.0,74.50
524.0,76.20
522.0,78.00
520.0,79.75
518.0,81.32
516.0,82.52
514.0,83.19
512.0,83.21
510.0,82.51
508.0,81.12
506.0,79.12
504.0,76.65
502.0,73.92
500.0,71.12
498.0,68.42
496.0,65.98
494.0,64.02
492.0,62.69
490.0,62.07
488.0,62.21
486.0,63.10
484.0,64.80
482.0,67.66
480.0,70.96
478.0,73.56
476.0,75.43
474.0,76.68
472.0,77.37
470.0,77.55
468.0,77.38
466.0,77.00
464.0,76.48
462.0,75.92
460.0,75.29
458.0,74.53
456.0,73.52
454.0,72.23
452.0,70.68
450.0,68.90
448.0,67.05
446.0,65.18
444.0,64.07
442.0,63.90
440.0,64.10
438.0,64.69
436.0,65.55
434.0,66.47
432.0,67.07
430.0,67.10
428.0,66.45
426.0,65.26
424.0,63.86
422.0,62.72
420.0,62.21
418.0,62.51
416.0,63.54
414.0,64.80
412.0,65.60
410.0,65.40
408.0,64.01
406.0,61.79
404.0,59.51
402.0,57.93
400.0,57.33
398.0,57.36
396.0,57.07
394.0,55.42
392.0,52.04
390.0,47.67
388.0,43.63
386.0,41.07
384.0,40.53
382.0,41.58
380.0,42.92
378.0,42.84
376.0,40.88
374.0,38.00
372.0,35.32
370.0,32.94
368.0,30.15
366.0,26.44
364.0,22.13
362.0,17.91
360.0,13.98
358.0,10.43
356.0,7.41
354.0,5.02
352.0,3.24
350.0,1.96
348.0,1.12
346.0,0.60
344.0,0.30
342.0,0.14
340.0,0.07
338.0,0.03
336.0,0.02
334.0,0.02
332.0,0.01
330.0,0.01
328.0,0.02
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
