Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,92.97
898.0,92.22
896.0,92.16
894.0,91.88
892.0,91.85
890.0,92.36
888.0,92.42
886.0,92.02
884.0,92.22
882.0,91.99
880.0,91.91
878.0,92.03
876.0,91.97
874.0,92.00
872.0,92.09
870.0,92.34
868.0,92.25
866.0,92.39
864.0,92.44
862.0,92.38
860.0,92.52
858.0,92.66
856.0,92.74
854.0,92.84
852.0,92.79
850.0,92.67
848.0,92.51
846.0,92.35
844.0,92.16
842.0,91.87
840.0,91.59
838.0,91.29
836.0,90.88
834.0,90.49
832.0,90.08
830.0,89.67
828.0,89.29
826.0,89.03
824.0,88.77
822.0,88.59
820.0,88.43
818.0,88.42
816.0,88.33
814.0,88.31
812.0,88.43
810.0,88.47
808.0,88.64
806.0,88.94
804.0,89.38
802.0,89.78
800.0,90.30
798.0,90.85
796.0,91.46
794.0,91.99
792.0,92.37
790.0,92.68
788.0,92.79
786.0,92.65
784.0,92.30
782.0,91.70
780.0,90.92
778.0,90.05
776.0,89.15
774.0,88.38
772.0,87.68
770.0,87.02
768.0,86.42
766.0,85.88
764.0,85.39
762.0,84.98
760.0,84.58
758.0,84.22
756.0,83.89
754.0,83.61
752.0,83.38
750.0,83.20
748.0,83.08
746.0,83.02
744.0,82.96
742.0,82.96
740.0,83.03
738.0,83.26
736.0,83.59
734.0,84.14
732.0,84.94
730.0,85.99
728.0,87.10
726.0,87.93
724.0,88.19
722.0,87.74
720.0,86.67
718.0,85.26
716.0,83.86
714.0,82.65
712.0,81.62
710.0,80.77
708.0,80.00
706.0,79.19
704.0,78.38
702.0,77.52
700.0,76.60
698.0,75.60
696.0,74.54
694.0,73.44
692.0,72.36
690.0,71.29
688.0,70.26
686.0,69.30
684.0,68.44
682.0,67.79
680.0,67.30
678.0,66.86
676.0,66.41
674.0,65.94
672.0,65.51
670.0,65.22
668.0,65.16
666.0,65.37
664.0,65.81
662.0,66.46
660.0,67.31
658.0,68.31
656.0,69.39
654.0,70.49
652.0,71.61
650.0,72.66
648.0,73.53
646.0,74.19
644.0,74.60
642.0,74.73
640.0,74.55
638.0,74.05
636.0,73.23
634.0,72.16
632.0,70.89
630.0,69.50
628.0,68.09
626.0,66.74
624.0,65.51
622.0,64.47
620.0,63.68
618.0,63.20
616.0,63.07
614.0,63.32
612.0,63.92
610.0,64.78
608.0,65.70
606.0,66.48
604.0,66.88
602.0,66.66
600.0,65.62
598.0,63.65
596.0,60.77
594.0,57.05
592.0,52.69
590.0,47.91
588.0,42.95
586.0,38.04
584.0,33.32
582.0,28.97
580.0,25.10
578.0,21.74
576.0,18.91
574.0,16.56
572.0,14.64
570.0,13.12
568.0,11.92
566.0,11.01
564.0,10.33
562.0,9.87
560.0,9.61
558.0,9.54
556.0,9.66
554.0,9.98
552.0,10.53
550.0,11.31
548.0,12.35
546.0,13.63
544.0,15.12
542.0,16.67
540.0,18.10
538.0,19.21
536.0,19.85
534.0,19.94
532.0,19.49
530.0,18.56
528.0,17.27
526.0,15.77
524.0,14.21
522.0,12.76
520.0,11.53
518.0,10.54
516.0,9.81
514.0,9.35
512.0,9.16
510.0,9.25
508.0,9.63
506.0,10.35
504.0,11.53
502.0,13.30
500.0,15.82
498.0,19.40
496.0,24.30
494.0,30.56
492.0,37.56
490.0,44.33
488.0,50.15
486.0,54.72
484.0,58.14
482.0,61.21
480.0,63.73
478.0,64.92
476.0,64.44
474.0,61.83
472.0,56.92
470.0,50.13
468.0,42.30
466.0,34.33
464.0,27.03
462.0,21.09
460.0,16.65
458.0,13.52
456.0,11.43
454.0,10.17
452.0,9.54
450.0,9.41
448.0,9.61
446.0,9.92
444.0,10.16
442.0,10.07
440.0,9.45
438.0,8.39
436.0,7.14
434.0,5.92
432.0,4.94
430.0,4.25
428.0,3.83
426.0,3.65
424.0,3.71
422.0,4.03
420.0,4.64
418.0,5.58
416.0,6.85
414.0,8.16
412.0,9.10
410.0,9.37
408.0,9.00
406.0,8.31
404.0,7.68
402.0,7.41
400.0,7.64
398.0,8.54
396.0,10.47
394.0,14.09
392.0,20.36
390.0,29.82
388.0,40.66
386.0,48.63
384.0,51.36
382.0,50.83
380.0,49.58
378.0,47.62
376.0,44.34
374.0,39.64
372.0,34.69
370.0,30.39
368.0,26.48
366.0,22.39
364.0,18.23
362.0,14.59
360.0,11.69
358.0,9.23
356.0,6.95
354.0,4.82
352.0,3.05
350.0,1.77
348.0,0.93
346.0,0.44
344.0,0.19
342.0,0.08
340.0,0.04
338.0,0.02
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.02
328.0,0.02
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
