AOI,trans,refl
0,85.45022116397189,0.20721898616200218
10,85.89112757398503,0.4150659104961282
20,85.57780318490164,6.416220260403787
30,84.67247956314056,9.93422955219572
40,81.57696373621648,11.597676983922335
45,74.89363292827596,16.814458203153027
50,58.93473338718358,28.657061926577338
60,11.31170836779643,71.06597669493347
70,10.801801017495716,65.87538747591142
