AOI,trans,refl,trans_redo,refl_redo
0,91.463741382182,0.309800142874271,,
5,91.3969383847516,0.601438736686766,,
10,91.7098526612607,5.17672742992069,,
15,91.5413550693945,5.47251744772135,,
20,92.5600326185981,5.46906919396169,,
25,90.1953694328997,5.89570655361366,,
30,91.027783448698,6.76440304787877,,
35,90.2780267373559,7.22491009163032,,
40,89.1540091227906,9.94185832289535,,
45,86.5472174081474,11.5172432161123,,
50,80.0451040854842,18.2098952193864,,
55,66.6826760237106,31.1903416447782,,
60,45.1995623253137,55.1883923841705,45.0857650956795,49.0644637264312
65,32.3959053192721,69.0208780942236,32.8348397286717,61.2091581506825
70,21.1759614142542,73.1705795643779,,
