AOI,trans,refl,trans_redo,refl_redo
0,10.7356374917206,0.722131324402726,,
5,10.3342641668446,0.292200883421965,,
10,9.19366090495088,65.3669593946534,,
15,7.6351339861113,79.9556670054918,,
20,6.42216692801563,83.7117793946318,,
25,5.52870763587583,88.0683647007696,,
30,4.78540775950656,93.9504096829453,,
35,4.42145958144487,91.9012025213481,,
40,4.70476034706545,90.1543967156023,,
45,5.0902349194864,91.9661310749981,,
50,6.08329703531621,91.3011654600611,,
55,6.84686213020836,92.5208654217742,,
60,7.7401972662551,89.6201722727176,,
65,10.1311898209081,85.7976613532284,,
70,13.5821835765434,47.536297918129,11.8278664786314,73.2670759435006
