AOI,trans,refl,trans redo,refl redo
0,11.5430333330911,0.134953453469272,,
10,11.9276274417397,0.15790377853325,,
20,8.60887660398723,78.6291130837172,,
30,5.77652136662573,85.9109429665697,,
40,4.5800503397726,85.8262360169195,,
45,4.8000603785518,97.5605279110042,4.70032554270265,88.1996079833678
50,5.43954815350029,96.6970200915471,5.3777504730455,87.0125271704603
60,7.59821594460003,90.9102630555675,,
70,11.1140468630282,86.9302118647895,,
