AOI,trans,refl,trans_redo,refl_redo
0,84.948740241692,0.857307588674681,,
5,85.5039018232431,0.945863877046679,,
10,85.0488534340768,9.35931196017864,,
15,85.2827054893144,10.1716359809382,,
20,84.9960511612997,11.169446121933,,
25,84.1972349476806,11.7280798208142,,
30,84.026735278163,11.1334262983513,,
35,81.4678984998632,13.8226765044859,,
40,77.9480780413491,16.8513034261507,,
45,66.6005617915097,27.0981376083674,,
50,42.5693373479756,50.3716046445418,,
55,17.7947085638283,80.3337942519464,16.6900772523495,79.4653755626619
60,8.38724347170984,85.7154317883446,8.13465577061657,86.8436850015147
65,9.94669522712465,76.52445421424,,
70,12.462362225309,74.4153995740472,,
