Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,86.80
898.0,87.13
896.0,87.45
894.0,87.32
892.0,87.89
890.0,87.85
888.0,88.07
886.0,88.39
884.0,88.94
882.0,88.64
880.0,89.44
878.0,89.76
876.0,89.84
874.0,90.39
872.0,90.62
870.0,91.02
868.0,91.10
866.0,91.08
864.0,91.24
862.0,91.32
860.0,91.25
858.0,91.17
856.0,90.95
854.0,90.59
852.0,90.29
850.0,89.93
848.0,89.51
846.0,89.03
844.0,88.55
842.0,88.09
840.0,87.70
838.0,87.21
836.0,86.74
834.0,86.27
832.0,85.81
830.0,85.34
828.0,84.95
826.0,84.57
824.0,84.22
822.0,83.89
820.0,83.61
818.0,83.37
816.0,83.19
814.0,83.00
812.0,82.86
810.0,82.69
808.0,82.56
806.0,82.51
804.0,82.50
802.0,82.57
800.0,82.63
798.0,82.78
796.0,82.94
794.0,83.22
792.0,83.52
790.0,83.91
788.0,84.38
786.0,84.91
784.0,85.49
782.0,86.08
780.0,86.72
778.0,87.31
776.0,87.74
774.0,88.04
772.0,88.09
770.0,87.94
768.0,87.59
766.0,87.11
764.0,86.58
762.0,86.02
760.0,85.48
758.0,85.01
756.0,84.54
754.0,84.14
752.0,83.75
750.0,83.39
748.0,83.08
746.0,82.79
744.0,82.53
742.0,82.34
740.0,82.19
738.0,82.10
736.0,82.14
734.0,82.37
732.0,82.84
730.0,83.51
728.0,84.29
726.0,85.06
724.0,85.47
722.0,85.18
720.0,84.08
718.0,82.36
716.0,80.42
714.0,78.71
712.0,77.44
710.0,76.53
708.0,75.93
706.0,75.53
704.0,75.29
702.0,75.17
700.0,75.14
698.0,75.20
696.0,75.30
694.0,75.43
692.0,75.58
690.0,75.75
688.0,75.94
686.0,76.17
684.0,76.45
682.0,76.87
680.0,77.50
678.0,78.55
676.0,79.81
674.0,80.54
672.0,80.11
670.0,78.53
668.0,76.71
666.0,75.49
664.0,74.78
662.0,74.25
660.0,73.76
658.0,73.29
656.0,72.86
654.0,72.47
652.0,72.11
650.0,71.79
648.0,71.51
646.0,71.29
644.0,71.10
642.0,70.98
640.0,70.92
638.0,70.91
636.0,71.01
634.0,71.17
632.0,71.37
630.0,71.66
628.0,72.05
626.0,72.46
624.0,72.83
622.0,73.08
620.0,73.20
618.0,73.22
616.0,73.26
614.0,73.28
612.0,73.22
610.0,73.10
608.0,72.87
606.0,72.54
604.0,72.16
602.0,71.72
600.0,71.23
598.0,70.75
596.0,70.28
594.0,69.84
592.0,69.47
590.0,69.17
588.0,68.96
586.0,68.87
584.0,68.91
582.0,69.08
580.0,69.36
578.0,69.74
576.0,70.23
574.0,70.78
572.0,71.39
570.0,72.02
568.0,72.62
566.0,73.17
564.0,73.66
562.0,74.03
560.0,74.29
558.0,74.41
556.0,74.42
554.0,74.33
552.0,74.15
550.0,73.93
548.0,73.72
546.0,73.59
544.0,73.57
542.0,73.69
540.0,73.99
538.0,74.49
536.0,75.19
534.0,76.11
532.0,77.21
530.0,78.43
528.0,79.73
526.0,81.05
524.0,82.33
522.0,83.42
520.0,84.30
518.0,84.89
516.0,85.13
514.0,85.03
512.0,84.60
510.0,83.91
508.0,82.98
506.0,81.87
504.0,80.56
502.0,79.10
500.0,77.48
498.0,75.70
496.0,73.85
494.0,72.04
492.0,70.47
490.0,69.22
488.0,68.38
486.0,68.03
484.0,68.31
482.0,69.69
480.0,71.55
478.0,72.92
476.0,73.99
474.0,75.09
472.0,76.36
470.0,77.77
468.0,79.22
466.0,80.53
464.0,81.44
462.0,81.66
460.0,81.06
458.0,79.60
456.0,77.39
454.0,74.64
452.0,71.73
450.0,69.02
448.0,66.72
446.0,64.96
444.0,64.47
442.0,65.18
440.0,66.32
438.0,67.55
436.0,68.57
434.0,69.07
432.0,68.84
430.0,68.00
428.0,66.88
426.0,65.87
424.0,65.38
422.0,65.66
420.0,66.60
418.0,67.77
416.0,68.59
414.0,68.43
412.0,67.08
410.0,64.80
408.0,62.20
406.0,60.02
404.0,58.74
402.0,58.26
400.0,57.84
398.0,56.52
396.0,53.62
394.0,49.27
392.0,44.59
390.0,40.85
388.0,38.88
386.0,38.95
384.0,40.69
382.0,42.84
380.0,43.82
378.0,42.55
376.0,40.12
374.0,37.63
372.0,35.54
370.0,33.38
368.0,30.53
366.0,26.84
364.0,22.68
362.0,18.44
360.0,14.37
358.0,10.73
356.0,7.66
354.0,5.20
352.0,3.33
350.0,2.01
348.0,1.15
346.0,0.61
344.0,0.31
342.0,0.15
340.0,0.07
338.0,0.04
336.0,0.02
334.0,0.02
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
