Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,60.44
898.0,58.01
896.0,54.93
894.0,51.73
892.0,48.30
890.0,46.67
888.0,44.70
886.0,42.54
884.0,41.73
882.0,39.79
880.0,39.00
878.0,37.60
876.0,37.32
874.0,36.42
872.0,36.39
870.0,36.39
868.0,36.31
866.0,37.20
864.0,37.77
862.0,38.97
860.0,41.03
858.0,42.31
856.0,44.29
854.0,46.82
852.0,50.07
850.0,53.34
848.0,57.03
846.0,61.41
844.0,66.05
842.0,70.70
840.0,75.44
838.0,79.20
836.0,82.18
834.0,83.64
832.0,83.40
830.0,81.57
828.0,77.73
826.0,73.12
824.0,67.67
822.0,61.97
820.0,56.33
818.0,51.33
816.0,46.85
814.0,43.01
812.0,39.89
810.0,37.67
808.0,35.54
806.0,33.89
804.0,32.83
802.0,32.34
800.0,32.36
798.0,32.84
796.0,33.92
794.0,35.66
792.0,38.05
790.0,41.05
788.0,44.32
786.0,47.55
784.0,50.25
782.0,51.57
780.0,50.30
778.0,46.01
776.0,39.28
774.0,31.50
772.0,24.17
770.0,18.15
768.0,13.54
766.0,10.15
764.0,7.71
762.0,5.91
760.0,4.63
758.0,3.66
756.0,2.98
754.0,2.43
752.0,2.03
750.0,1.71
748.0,1.45
746.0,1.24
744.0,1.09
742.0,0.96
740.0,0.85
738.0,0.76
736.0,0.70
734.0,0.65
732.0,0.60
730.0,0.57
728.0,0.52
726.0,0.49
724.0,0.48
722.0,0.47
720.0,0.47
718.0,0.47
716.0,0.48
714.0,0.49
712.0,0.52
710.0,0.56
708.0,0.60
706.0,0.66
704.0,0.75
702.0,0.86
700.0,1.03
698.0,1.24
696.0,1.50
694.0,1.79
692.0,2.07
690.0,2.26
688.0,2.26
686.0,2.05
684.0,1.72
682.0,1.36
680.0,1.02
678.0,0.77
676.0,0.58
674.0,0.45
672.0,0.37
670.0,0.30
668.0,0.24
666.0,0.21
664.0,0.19
662.0,0.16
660.0,0.16
658.0,0.14
656.0,0.13
654.0,0.13
652.0,0.12
650.0,0.12
648.0,0.13
646.0,0.14
644.0,0.13
642.0,0.14
640.0,0.17
638.0,0.21
636.0,0.26
634.0,0.35
632.0,0.48
630.0,0.65
628.0,0.86
626.0,1.17
624.0,1.45
622.0,1.43
620.0,1.10
618.0,0.71
616.0,0.44
614.0,0.29
612.0,0.20
610.0,0.15
608.0,0.11
606.0,0.09
604.0,0.08
602.0,0.07
600.0,0.06
598.0,0.05
596.0,0.05
594.0,0.05
592.0,0.05
590.0,0.05
588.0,0.05
586.0,0.05
584.0,0.05
582.0,0.06
580.0,0.06
578.0,0.08
576.0,0.10
574.0,0.13
572.0,0.17
570.0,0.24
568.0,0.36
566.0,0.55
564.0,0.78
562.0,0.87
560.0,0.75
558.0,0.55
556.0,0.38
554.0,0.26
552.0,0.19
550.0,0.14
548.0,0.11
546.0,0.08
544.0,0.07
542.0,0.07
540.0,0.08
538.0,0.09
536.0,0.12
534.0,0.17
532.0,0.24
530.0,0.32
528.0,0.36
526.0,0.32
524.0,0.22
522.0,0.10
520.0,0.02
518.0,0.00
516.0,0.00
514.0,0.00
512.0,0.00
510.0,0.08
508.0,0.19
506.0,0.32
504.0,0.45
502.0,0.57
500.0,0.66
498.0,0.69
496.0,0.70
494.0,0.71
492.0,0.77
490.0,0.87
488.0,0.91
486.0,0.79
484.0,0.56
482.0,0.24
480.0,0.03
478.0,0.00
476.0,0.00
474.0,0.00
472.0,0.00
470.0,0.00
468.0,0.06
466.0,0.17
464.0,0.33
462.0,0.51
460.0,0.69
458.0,0.89
456.0,1.11
454.0,1.43
452.0,1.96
450.0,2.87
448.0,4.61
446.0,7.99
444.0,14.82
442.0,27.67
440.0,47.36
438.0,68.35
436.0,82.83
434.0,89.13
432.0,90.63
430.0,90.83
428.0,91.08
426.0,91.39
424.0,91.53
422.0,91.30
420.0,91.36
418.0,91.50
416.0,91.07
414.0,89.97
412.0,88.62
410.0,87.88
408.0,87.70
406.0,88.34
404.0,89.06
402.0,89.24
400.0,88.49
398.0,87.74
396.0,87.14
394.0,86.66
392.0,85.39
390.0,83.25
388.0,80.81
386.0,78.51
384.0,76.54
382.0,74.58
380.0,72.08
378.0,67.67
376.0,61.10
374.0,52.94
372.0,45.63
370.0,41.17
368.0,37.70
366.0,31.61
364.0,23.51
362.0,17.78
360.0,14.74
358.0,12.21
356.0,8.87
354.0,5.74
352.0,3.46
350.0,1.93
348.0,0.95
346.0,0.48
344.0,0.27
342.0,0.18
340.0,0.18
338.0,0.16
336.0,0.17
334.0,0.18
332.0,0.23
330.0,0.23
328.0,0.23
326.0,0.27
324.0,0.34
322.0,0.32
320.0,0.31
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
