Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,86.02
898.0,86.73
896.0,86.81
894.0,86.78
892.0,86.49
890.0,86.37
888.0,85.71
886.0,85.80
884.0,85.40
882.0,85.22
880.0,84.64
878.0,83.95
876.0,83.59
874.0,83.41
872.0,82.64
870.0,81.99
868.0,81.61
866.0,81.25
864.0,80.89
862.0,80.34
860.0,80.15
858.0,79.81
856.0,79.53
854.0,79.36
852.0,79.23
850.0,79.24
848.0,79.18
846.0,79.22
844.0,79.38
842.0,79.58
840.0,79.87
838.0,80.26
836.0,80.66
834.0,81.16
832.0,81.61
830.0,82.09
828.0,82.44
826.0,82.75
824.0,82.90
822.0,82.94
820.0,82.84
818.0,82.69
816.0,82.47
814.0,82.23
812.0,81.92
810.0,81.58
808.0,81.29
806.0,80.96
804.0,80.57
802.0,80.25
800.0,79.84
798.0,79.43
796.0,78.97
794.0,78.59
792.0,78.15
790.0,77.76
788.0,77.37
786.0,77.04
784.0,76.76
782.0,76.51
780.0,76.33
778.0,76.21
776.0,76.18
774.0,76.22
772.0,76.33
770.0,76.53
768.0,76.81
766.0,77.17
764.0,77.62
762.0,78.12
760.0,78.72
758.0,79.30
756.0,79.66
754.0,79.54
752.0,78.91
750.0,77.87
748.0,76.64
746.0,75.39
744.0,74.12
742.0,72.79
740.0,71.38
738.0,69.93
736.0,68.45
734.0,66.97
732.0,65.51
730.0,64.09
728.0,62.77
726.0,61.56
724.0,60.53
722.0,59.68
720.0,59.05
718.0,58.69
716.0,58.64
714.0,58.93
712.0,59.78
710.0,61.51
708.0,63.75
706.0,65.06
704.0,65.02
702.0,65.24
700.0,66.50
698.0,68.12
696.0,69.76
694.0,71.19
692.0,72.23
690.0,72.68
688.0,72.44
686.0,71.43
684.0,69.65
682.0,67.19
680.0,64.19
678.0,60.88
676.0,57.45
674.0,54.10
672.0,51.00
670.0,48.25
668.0,45.95
666.0,44.15
664.0,42.89
662.0,42.17
660.0,42.02
658.0,42.45
656.0,43.47
654.0,45.01
652.0,46.97
650.0,49.02
648.0,50.71
646.0,51.41
644.0,50.57
642.0,47.80
640.0,43.15
638.0,37.15
636.0,30.65
634.0,24.45
632.0,19.12
630.0,14.85
628.0,11.61
626.0,9.20
624.0,7.42
622.0,6.08
620.0,5.03
618.0,4.21
616.0,3.61
614.0,3.16
612.0,2.80
610.0,2.53
608.0,2.33
606.0,2.18
604.0,2.08
602.0,2.02
600.0,1.99
598.0,2.01
596.0,2.07
594.0,2.18
592.0,2.35
590.0,2.60
588.0,2.97
586.0,3.50
584.0,4.26
582.0,5.33
580.0,6.74
578.0,8.37
576.0,9.82
574.0,10.53
572.0,10.06
570.0,8.51
568.0,6.56
566.0,4.85
564.0,3.59
562.0,2.74
560.0,2.18
558.0,1.80
556.0,1.55
554.0,1.37
552.0,1.26
550.0,1.19
548.0,1.16
546.0,1.18
544.0,1.22
542.0,1.32
540.0,1.48
538.0,1.72
536.0,2.10
534.0,2.70
532.0,3.70
530.0,5.44
528.0,8.60
526.0,14.10
524.0,21.76
522.0,28.26
520.0,29.40
518.0,24.64
516.0,18.30
514.0,13.73
512.0,11.25
510.0,10.17
508.0,9.99
506.0,10.44
504.0,11.17
502.0,11.50
500.0,10.69
498.0,8.72
496.0,6.35
494.0,4.35
492.0,3.00
490.0,2.16
488.0,1.65
486.0,1.34
484.0,1.16
482.0,1.07
480.0,1.05
478.0,1.10
476.0,1.20
474.0,1.37
472.0,1.60
470.0,1.85
468.0,2.04
466.0,2.06
464.0,1.86
462.0,1.55
460.0,1.25
458.0,1.01
456.0,0.83
454.0,0.72
452.0,0.66
450.0,0.63
448.0,0.64
446.0,0.68
444.0,0.78
442.0,0.97
440.0,1.29
438.0,1.77
436.0,2.42
434.0,3.10
432.0,3.49
430.0,3.48
428.0,3.24
426.0,3.02
424.0,2.93
422.0,3.01
420.0,3.28
418.0,3.77
416.0,4.52
414.0,5.58
412.0,7.05
410.0,9.13
408.0,12.33
406.0,17.65
404.0,26.35
402.0,38.29
400.0,49.01
398.0,53.25
396.0,52.47
394.0,51.36
392.0,51.47
390.0,51.09
388.0,48.49
386.0,44.46
384.0,41.07
382.0,38.90
380.0,36.94
378.0,34.25
376.0,32.24
374.0,31.12
372.0,30.06
370.0,29.52
368.0,28.87
366.0,26.35
364.0,22.03
362.0,17.33
360.0,12.85
358.0,8.79
356.0,5.55
354.0,3.23
352.0,1.65
350.0,0.77
348.0,0.35
346.0,0.17
344.0,0.09
342.0,0.04
340.0,0.02
338.0,0.02
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
