Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,90.75
898.0,89.91
896.0,90.54
894.0,90.25
892.0,90.19
890.0,90.63
888.0,90.61
886.0,90.75
884.0,90.59
882.0,90.96
880.0,90.96
878.0,91.24
876.0,91.39
874.0,91.64
872.0,91.66
870.0,92.04
868.0,91.86
866.0,92.15
864.0,92.22
862.0,92.48
860.0,92.64
858.0,92.63
856.0,92.64
854.0,92.83
852.0,92.93
850.0,92.96
848.0,92.99
846.0,93.01
844.0,92.94
842.0,92.71
840.0,92.38
838.0,91.92
836.0,91.44
834.0,90.81
832.0,90.15
830.0,89.52
828.0,88.95
826.0,88.44
824.0,87.99
822.0,87.63
820.0,87.36
818.0,87.12
816.0,87.00
814.0,86.94
812.0,86.94
810.0,86.94
808.0,87.00
806.0,87.10
804.0,87.20
802.0,87.27
800.0,87.33
798.0,87.28
796.0,87.16
794.0,86.95
792.0,86.62
790.0,86.19
788.0,85.60
786.0,84.87
784.0,83.96
782.0,82.94
780.0,81.79
778.0,80.61
776.0,79.39
774.0,78.20
772.0,77.01
770.0,75.77
768.0,74.32
766.0,72.51
764.0,70.33
762.0,67.93
760.0,65.58
758.0,63.45
756.0,61.64
754.0,60.13
752.0,58.94
750.0,58.04
748.0,57.44
746.0,57.10
744.0,57.04
742.0,57.29
740.0,57.83
738.0,58.68
736.0,59.85
734.0,61.33
732.0,63.13
730.0,65.24
728.0,67.66
726.0,70.41
724.0,73.54
722.0,76.93
720.0,79.93
718.0,81.67
716.0,81.82
714.0,80.87
712.0,79.62
710.0,78.06
708.0,75.93
706.0,73.24
704.0,70.11
702.0,66.71
700.0,63.25
698.0,59.88
696.0,56.77
694.0,54.02
692.0,51.71
690.0,49.92
688.0,48.65
686.0,47.93
684.0,47.78
682.0,48.21
680.0,49.21
678.0,50.68
676.0,52.43
674.0,54.16
672.0,55.41
670.0,55.64
668.0,54.42
666.0,51.57
664.0,47.16
662.0,41.54
660.0,35.29
658.0,29.07
656.0,23.40
654.0,18.57
652.0,14.67
650.0,11.62
648.0,9.30
646.0,7.53
644.0,6.19
642.0,5.16
640.0,4.37
638.0,3.77
636.0,3.32
634.0,2.98
632.0,2.68
630.0,2.43
628.0,2.21
626.0,2.06
624.0,1.96
622.0,1.89
620.0,1.86
618.0,1.85
616.0,1.89
614.0,1.95
612.0,2.07
610.0,2.23
608.0,2.47
606.0,2.79
604.0,3.22
602.0,3.78
600.0,4.46
598.0,5.22
596.0,5.90
594.0,6.36
592.0,6.46
590.0,6.12
588.0,5.41
586.0,4.51
584.0,3.62
582.0,2.86
580.0,2.28
578.0,1.84
576.0,1.53
574.0,1.31
572.0,1.15
570.0,1.04
568.0,0.97
566.0,0.92
564.0,0.91
562.0,0.91
560.0,0.94
558.0,1.00
556.0,1.10
554.0,1.25
552.0,1.49
550.0,1.85
548.0,2.41
546.0,3.32
544.0,4.82
542.0,7.04
540.0,9.67
538.0,11.95
536.0,13.03
534.0,12.41
532.0,10.40
530.0,8.11
528.0,6.35
526.0,5.27
524.0,4.70
522.0,4.52
520.0,4.65
518.0,5.12
516.0,5.93
514.0,7.02
512.0,8.00
510.0,8.25
508.0,7.41
506.0,5.86
504.0,4.26
502.0,3.04
500.0,2.22
498.0,1.69
496.0,1.35
494.0,1.13
492.0,1.00
490.0,0.93
488.0,0.93
486.0,0.98
484.0,1.09
482.0,1.28
480.0,1.53
478.0,1.78
476.0,1.92
474.0,1.86
472.0,1.62
470.0,1.33
468.0,1.07
466.0,0.87
464.0,0.74
462.0,0.66
460.0,0.62
458.0,0.60
456.0,0.62
454.0,0.66
452.0,0.75
450.0,0.90
448.0,1.15
446.0,1.52
444.0,2.02
442.0,2.51
440.0,2.74
438.0,2.63
436.0,2.32
434.0,2.00
432.0,1.77
430.0,1.66
428.0,1.65
426.0,1.75
424.0,1.97
422.0,2.35
420.0,2.98
418.0,4.00
416.0,5.76
414.0,8.94
412.0,14.78
410.0,25.21
408.0,40.77
406.0,56.32
404.0,63.97
402.0,64.35
400.0,63.27
398.0,63.31
396.0,63.51
394.0,62.30
392.0,59.77
390.0,57.50
388.0,56.79
386.0,57.57
384.0,58.17
382.0,56.77
380.0,53.70
378.0,50.51
376.0,49.18
374.0,48.94
372.0,47.62
370.0,43.87
368.0,38.44
366.0,32.41
364.0,26.10
362.0,19.75
360.0,14.13
358.0,9.46
356.0,5.55
354.0,2.86
352.0,1.44
350.0,0.77
348.0,0.42
346.0,0.22
344.0,0.11
342.0,0.06
340.0,0.03
338.0,0.02
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
