Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,88.03
898.0,88.95
896.0,89.66
894.0,89.24
892.0,89.20
890.0,88.40
888.0,87.82
886.0,86.57
884.0,84.60
882.0,82.74
880.0,80.03
878.0,77.09
876.0,74.20
874.0,71.11
872.0,67.74
870.0,64.60
868.0,61.26
866.0,58.20
864.0,55.19
862.0,52.42
860.0,49.83
858.0,47.50
856.0,45.42
854.0,43.60
852.0,42.02
850.0,40.66
848.0,39.52
846.0,38.65
844.0,38.05
842.0,37.69
840.0,37.59
838.0,37.75
836.0,38.22
834.0,38.99
832.0,40.11
830.0,41.55
828.0,43.34
826.0,45.47
824.0,47.89
822.0,50.59
820.0,53.45
818.0,56.44
816.0,59.59
814.0,62.88
812.0,66.21
810.0,69.33
808.0,72.40
806.0,74.95
804.0,76.58
802.0,77.08
800.0,76.27
798.0,74.22
796.0,71.01
794.0,67.00
792.0,62.49
790.0,57.82
788.0,53.35
786.0,49.30
784.0,45.75
782.0,42.87
780.0,40.64
778.0,39.14
776.0,38.36
774.0,38.23
772.0,38.51
770.0,38.91
768.0,39.33
766.0,39.90
764.0,41.09
762.0,43.25
760.0,46.35
758.0,49.85
756.0,52.87
754.0,54.42
752.0,53.75
750.0,50.56
748.0,45.11
746.0,38.04
744.0,30.42
742.0,23.32
740.0,17.45
738.0,13.00
736.0,9.74
734.0,7.41
732.0,5.73
730.0,4.51
728.0,3.62
726.0,2.95
724.0,2.45
722.0,2.06
720.0,1.76
718.0,1.52
716.0,1.33
714.0,1.18
712.0,1.06
710.0,0.96
708.0,0.88
706.0,0.82
704.0,0.77
702.0,0.74
700.0,0.71
698.0,0.69
696.0,0.69
694.0,0.69
692.0,0.71
690.0,0.73
688.0,0.78
686.0,0.84
684.0,0.94
682.0,1.06
680.0,1.20
678.0,1.35
676.0,1.51
674.0,1.72
672.0,1.99
670.0,2.28
668.0,2.55
666.0,2.70
664.0,2.68
662.0,2.48
660.0,2.15
658.0,1.75
656.0,1.37
654.0,1.06
652.0,0.82
650.0,0.65
648.0,0.52
646.0,0.43
644.0,0.37
642.0,0.32
640.0,0.28
638.0,0.26
636.0,0.24
634.0,0.22
632.0,0.21
630.0,0.21
628.0,0.21
626.0,0.22
624.0,0.24
622.0,0.27
620.0,0.31
618.0,0.36
616.0,0.40
614.0,0.44
612.0,0.52
610.0,0.67
608.0,0.93
606.0,1.27
604.0,1.62
602.0,1.85
600.0,1.87
598.0,1.66
596.0,1.29
594.0,0.91
592.0,0.63
590.0,0.44
588.0,0.33
586.0,0.26
584.0,0.21
582.0,0.18
580.0,0.16
578.0,0.15
576.0,0.14
574.0,0.14
572.0,0.14
570.0,0.14
568.0,0.15
566.0,0.17
564.0,0.19
562.0,0.23
560.0,0.28
558.0,0.36
556.0,0.51
554.0,0.74
552.0,1.08
550.0,1.41
548.0,1.57
546.0,1.45
544.0,1.15
542.0,0.86
540.0,0.64
538.0,0.50
536.0,0.41
534.0,0.35
532.0,0.32
530.0,0.30
528.0,0.31
526.0,0.33
524.0,0.37
522.0,0.44
520.0,0.55
518.0,0.69
516.0,0.82
514.0,0.90
512.0,0.87
510.0,0.76
508.0,0.61
506.0,0.48
504.0,0.39
502.0,0.32
500.0,0.28
498.0,0.25
496.0,0.22
494.0,0.21
492.0,0.20
490.0,0.20
488.0,0.21
486.0,0.24
484.0,0.30
482.0,0.40
480.0,0.56
478.0,0.77
476.0,0.95
474.0,0.98
472.0,0.86
470.0,0.68
468.0,0.52
466.0,0.42
464.0,0.36
462.0,0.33
460.0,0.32
458.0,0.32
456.0,0.33
454.0,0.36
452.0,0.41
450.0,0.48
448.0,0.61
446.0,0.82
444.0,1.20
442.0,1.91
440.0,3.29
438.0,6.12
436.0,12.19
434.0,24.42
432.0,43.08
430.0,61.42
428.0,72.76
426.0,78.86
424.0,83.84
422.0,88.07
420.0,90.39
418.0,91.12
416.0,91.13
414.0,90.97
412.0,90.84
410.0,90.72
408.0,90.36
406.0,89.67
404.0,88.74
402.0,87.91
400.0,87.29
398.0,86.84
396.0,86.45
394.0,85.95
392.0,85.23
390.0,84.18
388.0,82.72
386.0,80.77
384.0,78.40
382.0,75.65
380.0,72.56
378.0,68.73
376.0,64.44
374.0,58.94
372.0,51.62
370.0,42.91
368.0,34.34
366.0,27.48
364.0,22.47
362.0,17.79
360.0,12.91
358.0,8.94
356.0,6.48
354.0,4.93
352.0,3.54
350.0,2.21
348.0,1.21
346.0,0.58
344.0,0.25
342.0,0.10
340.0,0.04
338.0,0.02
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.02
326.0,0.01
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
