Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,30.44
898.0,30.13
896.0,29.89
894.0,29.97
892.0,30.41
890.0,30.74
888.0,31.48
886.0,32.35
884.0,33.55
882.0,35.12
880.0,37.03
878.0,39.27
876.0,42.03
874.0,45.20
872.0,48.89
870.0,53.21
868.0,58.00
866.0,63.15
864.0,68.39
862.0,73.14
860.0,77.13
858.0,79.42
856.0,79.87
854.0,78.07
852.0,74.25
850.0,68.97
848.0,63.09
846.0,57.12
844.0,51.43
842.0,46.30
840.0,41.82
838.0,38.13
836.0,35.03
834.0,32.54
832.0,30.62
830.0,29.20
828.0,28.26
826.0,27.76
824.0,27.74
822.0,28.21
820.0,29.25
818.0,30.97
816.0,33.47
814.0,36.94
812.0,41.63
810.0,47.53
808.0,54.17
806.0,60.04
804.0,62.26
802.0,58.38
800.0,48.87
798.0,37.39
796.0,27.15
794.0,19.44
792.0,13.98
790.0,10.20
788.0,7.60
786.0,5.79
784.0,4.49
782.0,3.54
780.0,2.85
778.0,2.32
776.0,1.92
774.0,1.61
772.0,1.37
770.0,1.18
768.0,1.02
766.0,0.90
764.0,0.80
762.0,0.72
760.0,0.65
758.0,0.59
756.0,0.55
754.0,0.51
752.0,0.48
750.0,0.46
748.0,0.44
746.0,0.43
744.0,0.42
742.0,0.42
740.0,0.42
738.0,0.42
736.0,0.43
734.0,0.45
732.0,0.48
730.0,0.51
728.0,0.56
726.0,0.63
724.0,0.71
722.0,0.83
720.0,1.00
718.0,1.22
716.0,1.52
714.0,1.88
712.0,2.25
710.0,2.47
708.0,2.38
706.0,2.02
704.0,1.56
702.0,1.16
700.0,0.85
698.0,0.64
696.0,0.49
694.0,0.39
692.0,0.31
690.0,0.26
688.0,0.22
686.0,0.19
684.0,0.17
682.0,0.15
680.0,0.13
678.0,0.12
676.0,0.12
674.0,0.11
672.0,0.11
670.0,0.11
668.0,0.11
666.0,0.11
664.0,0.12
662.0,0.13
660.0,0.14
658.0,0.16
656.0,0.18
654.0,0.22
652.0,0.28
650.0,0.38
648.0,0.55
646.0,0.83
644.0,1.20
642.0,1.43
640.0,1.25
638.0,0.84
636.0,0.51
634.0,0.32
632.0,0.21
630.0,0.15
628.0,0.11
626.0,0.09
624.0,0.07
622.0,0.06
620.0,0.05
618.0,0.04
616.0,0.04
614.0,0.04
612.0,0.03
610.0,0.03
608.0,0.03
606.0,0.03
604.0,0.03
602.0,0.03
600.0,0.03
598.0,0.04
596.0,0.04
594.0,0.04
592.0,0.05
590.0,0.06
588.0,0.07
586.0,0.09
584.0,0.13
582.0,0.18
580.0,0.27
578.0,0.43
576.0,0.69
574.0,0.93
572.0,0.95
570.0,0.76
568.0,0.53
566.0,0.38
564.0,0.29
562.0,0.23
560.0,0.19
558.0,0.18
556.0,0.17
554.0,0.17
552.0,0.18
550.0,0.20
548.0,0.24
546.0,0.29
544.0,0.38
542.0,0.48
540.0,0.58
538.0,0.60
536.0,0.52
534.0,0.40
532.0,0.29
530.0,0.21
528.0,0.16
526.0,0.12
524.0,0.10
522.0,0.08
520.0,0.08
518.0,0.07
516.0,0.08
514.0,0.09
512.0,0.10
510.0,0.13
508.0,0.18
506.0,0.24
504.0,0.34
502.0,0.49
500.0,0.65
498.0,0.74
496.0,0.67
494.0,0.51
492.0,0.37
490.0,0.27
488.0,0.21
486.0,0.17
484.0,0.14
482.0,0.11
480.0,0.10
478.0,0.10
476.0,0.11
474.0,0.13
472.0,0.16
470.0,0.20
468.0,0.27
466.0,0.37
464.0,0.54
462.0,0.83
460.0,1.32
458.0,2.22
456.0,4.00
454.0,7.75
452.0,15.33
450.0,28.81
448.0,47.47
446.0,65.75
444.0,78.71
442.0,85.99
440.0,89.61
438.0,91.10
436.0,91.40
434.0,91.28
432.0,91.13
430.0,90.94
428.0,90.61
426.0,90.20
424.0,89.98
422.0,90.15
420.0,90.62
418.0,91.03
416.0,91.04
414.0,90.69
412.0,90.29
410.0,90.08
408.0,90.09
406.0,89.98
404.0,89.48
402.0,88.75
400.0,88.09
398.0,87.59
396.0,87.08
394.0,86.25
392.0,85.02
390.0,83.70
388.0,82.32
386.0,80.68
384.0,78.49
382.0,75.85
380.0,72.66
378.0,68.24
376.0,63.09
374.0,57.72
372.0,52.50
370.0,46.78
368.0,40.26
366.0,34.24
364.0,29.35
362.0,24.35
360.0,18.69
358.0,13.41
356.0,8.97
354.0,5.43
352.0,2.93
350.0,1.39
348.0,0.59
346.0,0.24
344.0,0.10
342.0,0.05
340.0,0.02
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
