Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,94.05
898.0,94.20
896.0,93.85
894.0,94.31
892.0,94.35
890.0,94.25
888.0,93.69
886.0,93.14
884.0,93.25
882.0,92.65
880.0,92.03
878.0,92.05
876.0,91.55
874.0,91.06
872.0,90.67
870.0,90.44
868.0,89.90
866.0,89.84
864.0,89.38
862.0,89.23
860.0,89.00
858.0,88.61
856.0,88.46
854.0,88.17
852.0,87.93
850.0,87.83
848.0,87.74
846.0,87.73
844.0,87.77
842.0,88.03
840.0,88.22
838.0,88.55
836.0,88.84
834.0,89.15
832.0,89.36
830.0,89.48
828.0,89.46
826.0,89.24
824.0,88.81
822.0,88.14
820.0,87.17
818.0,85.96
816.0,84.44
814.0,82.69
812.0,80.74
810.0,78.80
808.0,76.53
806.0,74.14
804.0,71.76
802.0,69.39
800.0,67.08
798.0,64.92
796.0,62.94
794.0,61.21
792.0,59.73
790.0,58.50
788.0,57.56
786.0,56.74
784.0,55.91
782.0,55.00
780.0,53.94
778.0,52.86
776.0,51.91
774.0,51.24
772.0,50.98
770.0,51.13
768.0,51.74
766.0,52.72
764.0,54.13
762.0,55.95
760.0,58.15
758.0,60.69
756.0,63.54
754.0,66.59
752.0,69.75
750.0,72.84
748.0,75.63
746.0,77.99
744.0,79.72
742.0,80.71
740.0,80.98
738.0,80.44
736.0,78.79
734.0,75.83
732.0,71.64
730.0,66.64
728.0,61.71
726.0,57.41
724.0,53.78
722.0,50.73
720.0,48.28
718.0,46.42
716.0,45.16
714.0,44.52
712.0,44.52
710.0,45.16
708.0,46.46
706.0,48.37
704.0,50.73
702.0,53.24
700.0,55.39
698.0,56.55
696.0,56.20
694.0,54.05
692.0,50.07
690.0,44.63
688.0,38.26
686.0,31.56
684.0,25.25
682.0,19.79
680.0,15.39
678.0,11.99
676.0,9.42
674.0,7.49
672.0,6.04
670.0,4.95
668.0,4.12
666.0,3.48
664.0,2.98
662.0,2.60
660.0,2.29
658.0,2.05
656.0,1.87
654.0,1.73
652.0,1.64
650.0,1.58
648.0,1.54
646.0,1.50
644.0,1.45
642.0,1.42
640.0,1.42
638.0,1.45
636.0,1.51
634.0,1.62
632.0,1.77
630.0,1.98
628.0,2.25
626.0,2.61
624.0,3.04
622.0,3.53
620.0,3.99
618.0,4.33
616.0,4.48
614.0,4.37
612.0,4.02
610.0,3.50
608.0,2.90
606.0,2.33
604.0,1.86
602.0,1.49
600.0,1.22
598.0,1.02
596.0,0.88
594.0,0.78
592.0,0.70
590.0,0.64
588.0,0.59
586.0,0.57
584.0,0.55
582.0,0.56
580.0,0.58
578.0,0.61
576.0,0.67
574.0,0.76
572.0,0.89
570.0,1.09
568.0,1.40
566.0,1.88
564.0,2.62
562.0,3.60
560.0,4.64
558.0,5.44
556.0,5.78
554.0,5.52
552.0,4.71
550.0,3.68
548.0,2.78
546.0,2.16
544.0,1.76
542.0,1.53
540.0,1.40
538.0,1.36
536.0,1.40
534.0,1.52
532.0,1.75
530.0,2.12
528.0,2.70
526.0,3.48
524.0,4.28
522.0,4.68
520.0,4.43
518.0,3.64
516.0,2.73
514.0,1.98
512.0,1.48
510.0,1.16
508.0,0.97
506.0,0.86
504.0,0.81
502.0,0.79
500.0,0.80
498.0,0.83
496.0,0.90
494.0,1.02
492.0,1.17
490.0,1.31
488.0,1.39
486.0,1.35
484.0,1.19
482.0,0.98
480.0,0.78
478.0,0.64
476.0,0.53
474.0,0.46
472.0,0.41
470.0,0.39
468.0,0.40
466.0,0.44
464.0,0.50
462.0,0.60
460.0,0.74
458.0,0.96
456.0,1.27
454.0,1.64
452.0,1.92
450.0,1.97
448.0,1.78
446.0,1.47
444.0,1.19
442.0,1.01
440.0,0.90
438.0,0.86
436.0,0.87
434.0,0.94
432.0,1.08
430.0,1.31
428.0,1.70
426.0,2.38
424.0,3.60
422.0,5.90
420.0,10.44
418.0,19.42
416.0,35.24
414.0,54.34
412.0,66.87
410.0,69.97
408.0,69.24
406.0,69.08
404.0,69.91
402.0,70.74
400.0,71.17
398.0,72.10
396.0,74.36
394.0,77.07
392.0,78.12
390.0,76.42
388.0,73.02
386.0,69.66
384.0,67.70
382.0,67.25
380.0,67.12
378.0,65.58
376.0,62.29
374.0,57.71
372.0,52.58
370.0,46.79
368.0,40.08
366.0,32.99
364.0,26.20
362.0,19.26
360.0,12.38
358.0,7.17
356.0,4.19
354.0,2.63
352.0,1.65
350.0,0.96
348.0,0.53
346.0,0.29
344.0,0.17
342.0,0.10
340.0,0.05
338.0,0.03
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
