35,330,0.0051
45,330,0.0055
55,330,0.014
65,330,0.0707
70,330,0.0332
75,330,0.0478
0,332,0.0084
15,332,0.0366
25,332,0.008
35,332,0.0013
45,332,0.0577
55,332,0.0054
65,332,0.0269
70,332,0.0379
75,332,0.0302
0,334,0.0404
15,334,0.0083
25,334,0.0067
35,334,0.0006
45,334,0.1362
55,334,0.0218
65,334,0.0238
70,334,0.0235
75,334,0.0136
0,336,0.0139
15,336,0.0054
25,336,0.0018
35,336,0.0009
45,336,0.0679
55,336,0.0443
65,336,0.0226
70,336,0.0102
75,336,0.0121
0,338,0.0043
15,338,0.0085
25,338,0.0007
35,338,0.0045
45,338,0.0102
55,338,0.019
65,338,0.0102
70,338,0.0086
75,338,0.0232
0,340,0.0078
15,340,0.0031
25,340,0.0007
35,340,0.0498
45,340,0.0032
55,340,0.0075
65,340,0.0053
70,340,0.016
75,340,0.049
0,342,0.0059
15,342,0.0009
25,342,0.0018
35,342,0.1262
45,342,0.0125
55,342,0.0097
65,342,0.0064
70,342,0.0333
75,342,0.07
0,344,0.0015
15,344,0.0006
25,344,0.0191
35,344,0.0563
45,344,0.026
55,344,0.0078
65,344,0.0138
70,344,0.0484
75,344,0.1246
0,346,0.0007
15,346,0.001
25,346,0.1131
35,346,0.0076
45,346,0.0101
55,346,0.0032
65,346,0.024
70,346,0.094
75,346,0.1356
0,348,0.0008
15,348,0.0051
25,348,0.0935
35,348,0.0025
45,348,0.0021
55,348,0.0019
65,348,0.0389
70,348,0.1068
75,348,0.0324
0,350,0.0021
15,350,0.0697
25,350,0.0149
35,350,0.0094
45,350,0.0026
55,350,0.0026
65,350,0.0797
70,350,0.0265
75,350,0.0059
0,352,0.0261
15,352,0.1411
25,352,0.0025
35,352,0.0193
45,352,0.0036
55,352,0.0056
65,352,0.0519
70,352,0.0045
75,352,0.002
0,354,0.1458
15,354,0.0338
25,354,0.0041
35,354,0.0053
45,354,0.0022
55,354,0.0086
65,354,0.0076
70,354,0.0016
75,354,0.0012
0,356,0.0756
15,356,0.0044
25,356,0.0179
35,356,0.0008
45,356,0.0008
55,356,0.0178
65,356,0.0015
70,356,0.0009
75,356,0.0009
0,358,0.0099
15,358,0.0021
25,358,0.009
35,358,0.0007
45,358,0.0006
55,358,0.0361
65,358,0.0007
70,358,0.0007
75,358,0.001
0,360,0.0024
15,360,0.0127
25,360,0.0008
35,360,0.0014
45,360,0.0011
55,360,0.0224
65,360,0.0005
70,360,0.0007
75,360,0.0012
0,362,0.0049
15,362,0.0169
25,362,0.0003
35,362,0.0015
45,362,0.0022
55,362,0.0022
65,362,0.0004
70,362,0.0008
75,362,0.0019
0,364,0.0245
15,364,0.0013
25,364,0.0004
35,364,0.0005
45,364,0.0027
55,364,0.0003
65,364,0.0003
70,364,0.001
75,364,0.0032
0,366,0.004
15,366,0.0001
25,366,0.001
35,366,0.0001
45,366,0.0085
55,366,0.0001
65,366,0.0003
70,366,0.0015
75,366,0.0056
0,368,0.0002
15,368,0
25,368,0.0007
35,368,0.0001
45,368,0.016
55,368,0
65,368,0.0004
70,368,0.0026
75,368,0.01
0,370,0
15,370,0.0002
